Heathrow Terminal 5 Underground Station,51.470056,-0.490552
Heathrow Terminals 1-2-3 Underground Station ,51.471239,-0.452256
Hendon Central Underground Station,51.583307,-0.226423
Heron Quays DLR Station,51.503383,-0.021413
High Barnet Underground Station,51.65054,-0.194295
High Street Kensington Underground Station,51.50106,-0.19279
Highams Park Rail Station,51.608357,-0.000214
Highbury & Islington Rail Station,51.546183,-0.103758
Highbury & Islington Underground Station,51.546355,-0.103319
Highgate Underground Station,51.577539,-0.145853
Hillingdon Underground Station,51.553712,-0.449818
Holborn Underground Station,51.517585,-0.12047
Holland Park Underground Station,51.507148,-0.205677
Holloway Road Underground Station,51.552702,-0.113239
Homerton Rail Station,51.547017,-0.042353
Honor Oak Park Rail Station,51.449992,-0.045499
Hornchurch Underground Station,51.554098,0.219131
Hounslow Central Underground Station,51.471299,-0.366581
Hounslow East Underground Station,51.473217,-0.356476
Hounslow West Underground Station,51.473473,-0.386533
Hoxton Rail Station,51.531517,-0.075676
Hyde Park Corner Underground Station,51.503039,-0.152438
Ickenham Underground Station,51.561989,-0.441991
Imperial Wharf Rail Station,51.474953,-0.18282
Island Gardens DLR Station,51.487814,-0.010132
Kennington Underground Station,51.488341,-0.105958
Kensal Green Rail Station,51.530546,-0.225086
Kensal Green Underground Station,51.530544,-0.225014
Kensal Rise Rail Station,51.534559,-0.219955
Kensington (Olympia) Rail Station,51.497903,-0.210362
Kensington (Olympia) Underground Station,51.497628,-0.210013
Kentish Town Underground Station,51.550318,-0.140729
Kentish Town West Rail Station,51.546553,-0.146651
Kenton Rail Station,51.581809,-0.316981
Kenton Underground Station,51.581763,-0.316911
Kew Gardens Rail Station,51.477077,-0.285054
Kew Gardens Underground Station,51.477062,-0.285242
Kilburn High Road Rail Station,51.537283,-0.192235
Kilburn Park Underground Station,51.534985,-0.194229
Kilburn Underground Station,51.546809,-0.204102
King George V DLR Station,51.502007,0.062633
King's Cross St. Pancras Underground Station,51.530668,-0.12319
Kingsbury Underground Station,51.584852,-0.27879
Knightsbridge Underground Station,51.501673,-0.160504
Ladbroke Grove Underground Station,51.517454,-0.210389
Lambeth North Underground Station,51.498812,-0.11231
Lancaster Gate Underground Station,51.511727,-0.175491
Langdon Park DLR Station,51.515176,-0.014143
Latimer Road Underground Station,51.513394,-0.217797
Leicester Square Underground Station,51.51139,-0.128421
Lewisham DLR Station,51.464668,-0.012867
Leyton Midland Road Rail Station,51.569731,-0.008042
Leyton Underground Station,51.556595,-0.005515
Leytonstone High Road Rail Station,51.56356,0.008425
Leytonstone Underground Station,51.56833,0.008202
Limehouse DLR Station,51.512397,-0.039802
Liverpool Street Underground Station,51.517377,-0.083176
London Bridge Underground Station,51.505725,-0.088867
London City Airport DLR Station,51.503419,0.048749
London Euston Rail Station,51.528141,-0.133919
London Fields Rail Station,51.541158,-0.057747
London Liverpool Street Rail Station,51.517996,-0.08142
Loughton Underground Station,51.641451,0.055486
Maida Vale Underground Station,51.529782,-0.185756
Manor House Underground Station,51.570744,-0.096113
Mansion House Underground Station,51.512122,-0.094004
Marble Arch Underground Station,51.513429,-0.15895
Marylebone Underground Station,51.522327,-0.163204
Mile End Underground Station,51.525127,-0.033633
Mill Hill East Underground Station,51.608237,-0.209983
Monument Underground Station,51.510705,-0.085964
Moor Park Underground Station,51.629844,-0.432443
Moorgate Underground Station,51.51818,-0.088317
Morden Underground Station,51.402144,-0.194838
